country,year,tiva2022_gfcf_import_content_raw,trade_z,liq_fa_net_worth_raw,liq_z,real_ppp_gdp_pc_2020pps,log_real_ppp_gdp_pc_raw,log_gdp_pc_z
LUX,2005,0.56393,1.33471700069,-0.876780819656,0.397777480005,74892.417864,11.2238079343,2.64181347266
LUX,2006,0.53212,1.01928515495,-0.855061141006,0.434467560358,78185.556328,11.2668402078,2.7539739216
LUX,2007,0.52441,0.942831853137,-0.877450394374,0.396646397422,83150.967328,11.3284131181,2.91445917363
LUX,2008,0.5433,1.13014740064,-0.867611773174,0.413266339559,81454.549264,11.3078004659,2.86073381518
LUX,2009,0.50332,0.733700836898,-1.00575917973,0.179900113064,77393.427232,11.2566571365,2.72743249688
LUX,2010,0.50122,0.712876980373,-0.969858051492,0.240546281046,78829.696704,11.2750450666,2.77535928125
LUX,2011,0.5248,0.946699140778,-0.879594346114,0.393024715772,77829.604512,11.2622771585,2.74208067001
LUX,2012,0.53577,1.05547900081,-0.841052998096,0.458130888774,77316.31732,11.2556603031,2.72483432417
LUX,2013,0.54995,1.19608961296,-0.879139211113,0.393793554944,77746.263496,11.261205771,2.73928817734
LUX,2014,0.54977,1.19430471098,-0.891842838469,0.372333886228,77927.7444,11.2635373225,2.74536519455
LUX,2015,0.54574,1.15434273869,-0.928719319275,0.310040098841,78145.83304,11.2663320144,2.75264935301
LUX,2016,0.54647,1.16158150787,-0.926407403915,0.313945513912,79967.652072,11.2893774828,2.81271566762
LUX,2017,0.54174,1.11467825008,-0.930378484686,0.307237345024,79276.778416,11.2807005327,2.79009983671
LUX,2018,0.54316,1.12875914354,-0.915025567587,0.333172340246,78989.368744,11.2770685495,2.78063334041
LUX,2019,0.56991,1.39401541117,-0.999766081871,0.19002398486,79499.540384,11.2835065193,2.79741343404
LUX,2020,0.55717,1.26768401492,-1.00844971721,0.175355108616,77888.8,11.2630374475,2.7440623071
LUX,2021,0.60385,1.7305685971,-0.991030880551,0.204779969215,81988.087544,11.3143292418,2.87775058835
